paralog_pair,gene_A,gene_B,n_cell_lines_scored,scored_in_PC9,scored_in_HeLa,prediction_PC9,prediction_HeLa
ALG1L1P_ALG1L2,ALG1L1P,ALG1L2,1,TRUE,FALSE,0.130579174,
C1QTNF9_C1QTNF9B,C1QTNF9,C1QTNF9B,1,TRUE,FALSE,0.015640834,
CDK11A_CDK11B,CDK11A,CDK11B,2,TRUE,TRUE,0.20551427,0.36574277
CLASP1_CLASP2,CLASP1,CLASP2,2,TRUE,TRUE,0.18233402,0.081751466
DDT_DDTL,DDT,DDTL,2,TRUE,TRUE,0.000424327,0.095405377
DEFB131A_DEFB131B,DEFB131A,DEFB131B,1,TRUE,FALSE,0.073473632,
HTN1_HTN3,HTN1,HTN3,2,TRUE,TRUE,0.056442827,0.101060539
LCE3D_LCE3E,LCE3D,LCE3E,1,TRUE,FALSE,0.06413963,
LYZL1_LYZL2,LYZL1,LYZL2,1,TRUE,FALSE,0.0394332,
METTL2A_METTL2B,METTL2A,METTL2B,2,TRUE,TRUE,0.06619827,0.13660271
OBP2A_OBP2B,OBP2A,OBP2B,2,TRUE,TRUE,0.002295075,0.052906226
PF4_PF4V1,PF4,PF4V1,2,TRUE,TRUE,0.005562112,0.089583755
SCGB1C1_SCGB1C2,SCGB1C1,SCGB1C2,2,TRUE,TRUE,0.088412128,0.110856518
SEPTIN3_SEPTIN12,SEPTIN3,SEPTIN12,2,TRUE,TRUE,0.010182581,0.012529777
SPAG11A_SPAG11B,SPAG11A,SPAG11B,1,TRUE,FALSE,0.09740565,
SPRR2A_SPRR2B,SPRR2A,SPRR2B,1,TRUE,FALSE,0.025230991,
SRGAP2B_SRGAP2C,SRGAP2B,SRGAP2C,1,TRUE,FALSE,0.086849913,
TGIF2LX_TGIF2LY,TGIF2LX,TGIF2LY,1,TRUE,FALSE,0.01149529,
XCL1_XCL2,XCL1,XCL2,1,TRUE,FALSE,0.010881124,
MARCHF2_MARCHF3,MARCHF2,MARCHF3,2,TRUE,TRUE,0.023236843,0.058489524
AGAP4_AGAP9,AGAP4,AGAP9,1,TRUE,FALSE,0.181359828,
AMY1A_AMY1B,AMY1A,AMY1B,1,TRUE,FALSE,0.303209901,
AMY1A_AMY1C,AMY1A,AMY1C,1,TRUE,FALSE,0.315575957,
AMY1A_AMY2B,AMY1A,AMY2B,1,TRUE,FALSE,0.277664691,
AMY1B_AMY1C,AMY1B,AMY1C,1,TRUE,FALSE,0.302305698,
AMY1B_AMY2B,AMY1B,AMY2B,1,TRUE,FALSE,0.298417956,
AMY1C_AMY2B,AMY1C,AMY2B,1,TRUE,FALSE,0.290387601,
ANKRD18B_ANKRD20A1,ANKRD18B,ANKRD20A1,2,TRUE,TRUE,0.049626242,0.218836427
ANKRD18B_ANKRD30BL,ANKRD18B,ANKRD30BL,2,TRUE,TRUE,0.012148204,0.24710688
ANKRD18B_ANKRD36,ANKRD18B,ANKRD36,2,TRUE,TRUE,0.053607062,0.17890799
ANKRD18B_ANKRD36B,ANKRD18B,ANKRD36B,2,TRUE,TRUE,0.05207428,0.190936863
ANKRD18B_ANKRD36C,ANKRD18B,ANKRD36C,2,TRUE,TRUE,0.046884194,0.176714271
ANKRD18B_POTEB,ANKRD18B,POTEB,2,TRUE,TRUE,0.238841876,0.319781095
ANKRD18B_POTEB2,ANKRD18B,POTEB2,2,TRUE,TRUE,0.252257556,0.306532234
ANKRD18B_POTEB3,ANKRD18B,POTEB3,2,TRUE,TRUE,0.189872086,0.305786431
ANKRD18B_POTEF,ANKRD18B,POTEF,2,TRUE,TRUE,0.112806931,0.28278774
ANKRD18B_POTEG,ANKRD18B,POTEG,2,TRUE,TRUE,0.051211566,0.240182906
ANKRD18B_POTEH,ANKRD18B,POTEH,2,TRUE,TRUE,0.031596489,0.238300875
ANKRD18B_POTEJ,ANKRD18B,POTEJ,2,TRUE,TRUE,0.051054325,0.217184037
ANKRD18B_POTEM,ANKRD18B,POTEM,2,TRUE,TRUE,0.042546313,0.232440323
ANKRD20A1_ANKRD30BL,ANKRD20A1,ANKRD30BL,1,TRUE,FALSE,0.262269706,
ANKRD20A1_ANKRD36,ANKRD20A1,ANKRD36,1,TRUE,FALSE,0.206051528,
ANKRD20A1_ANKRD36B,ANKRD20A1,ANKRD36B,1,TRUE,FALSE,0.147684038,
ANKRD20A1_ANKRD36C,ANKRD20A1,ANKRD36C,2,TRUE,TRUE,0.251231611,0.158991829
ANKRD20A1_POTEB,ANKRD20A1,POTEB,1,TRUE,FALSE,0.302503318,
ANKRD20A1_POTEB2,ANKRD20A1,POTEB2,1,TRUE,FALSE,0.276137829,
ANKRD20A1_POTEB3,ANKRD20A1,POTEB3,1,TRUE,FALSE,0.265608072,
ANKRD20A1_POTEF,ANKRD20A1,POTEF,1,TRUE,FALSE,0.284054875,
ANKRD20A1_POTEG,ANKRD20A1,POTEG,1,TRUE,FALSE,0.144601792,
ANKRD20A1_POTEH,ANKRD20A1,POTEH,1,TRUE,FALSE,0.149091527,
ANKRD20A1_POTEJ,ANKRD20A1,POTEJ,1,TRUE,FALSE,0.16341652,
ANKRD20A1_POTEM,ANKRD20A1,POTEM,1,TRUE,FALSE,0.15960446,
ANKRD30BL_ANKRD36,ANKRD30BL,ANKRD36,1,TRUE,FALSE,0.251571923,
ANKRD30BL_ANKRD36B,ANKRD30BL,ANKRD36B,1,TRUE,FALSE,0.096045822,
ANKRD30BL_ANKRD36C,ANKRD30BL,ANKRD36C,1,FALSE,TRUE,,0.229568928
ANKRD30BL_POTEB,ANKRD30BL,POTEB,1,TRUE,FALSE,0.358302504,
ANKRD30BL_POTEB2,ANKRD30BL,POTEB2,1,TRUE,FALSE,0.351468176,
ANKRD30BL_POTEB3,ANKRD30BL,POTEB3,1,TRUE,FALSE,0.299092174,
ANKRD30BL_POTEF,ANKRD30BL,POTEF,1,TRUE,FALSE,0.345973223,
ANKRD30BL_POTEG,ANKRD30BL,POTEG,1,TRUE,FALSE,0.099057831,
ANKRD30BL_POTEH,ANKRD30BL,POTEH,1,TRUE,FALSE,0.099118575,
ANKRD30BL_POTEJ,ANKRD30BL,POTEJ,1,TRUE,FALSE,0.258157969,
ANKRD30BL_POTEM,ANKRD30BL,POTEM,1,TRUE,FALSE,0.101307176,
ANKRD36B_ANKRD36C,ANKRD36B,ANKRD36C,2,TRUE,TRUE,0.14487268,0.094552048
ANKRD36B_POTEB,ANKRD36B,POTEB,1,TRUE,FALSE,0.360817671,
ANKRD36B_POTEB2,ANKRD36B,POTEB2,1,TRUE,FALSE,0.387327999,
ANKRD36B_POTEB3,ANKRD36B,POTEB3,1,TRUE,FALSE,0.372612447,
ANKRD36B_POTEG,ANKRD36B,POTEG,1,TRUE,FALSE,0.143763825,
ANKRD36B_POTEH,ANKRD36B,POTEH,1,TRUE,FALSE,0.128119498,
ANKRD36B_POTEM,ANKRD36B,POTEM,1,TRUE,FALSE,0.180687219,
ANKRD36C_POTEB,ANKRD36C,POTEB,2,TRUE,TRUE,0.379925072,0.23754631
ANKRD36C_POTEB2,ANKRD36C,POTEB2,2,TRUE,TRUE,0.336316645,0.237404481
ANKRD36C_POTEB3,ANKRD36C,POTEB3,2,TRUE,TRUE,0.305667698,0.210987523
ANKRD36C_POTEG,ANKRD36C,POTEG,2,TRUE,TRUE,0.20531109,0.245302558
ANKRD36C_POTEH,ANKRD36C,POTEH,2,TRUE,TRUE,0.218835339,0.227852166
